Биотехнология,19.03.01,"Биотехнологи работают в научных и исследовательских центрах, лабораториях, клиниках, фармацевтических компаниях. Они исследуют, получают и применяют ферменты и вирусы различного генеза. Изучают микроорганизмы, клеточные культуры животных и растений. Продумывают и разрабатывают технологии получения новых структур, возможные варианты их использования в химической, пищевой и биологической промышленности. В составе рабочих групп принимают участие в экспериментах по созданию новых лекарственных препаратов, биологически-активных веществ.","Бакалавры этого направления могут работать в различных производственных, фармацевтических, пищевых компаниях в качестве сотрудников начального звена (например, техниками по обслуживанию приборов и систем). Другой вариант профессиональной деятельности – работа в научных центрах в качестве лаборанта или младшего научного сотрудника. Заработная плата, как правило, невысока: от 15 тысяч рублей в НИИ, до 20–25 — на производстве. Научные сотрудники при условии активного участия в проектах получают премии и гранты."
Химическая технология,18.03.01,"Химический технолог владеет методами и способами получения веществ и материалов с помощью физических, физико-химических и химических процессов. Выпускники направления работают на предприятиях различных отраслей, в лабораториях и научных центрах. Их задача — создание новых химических соединений, внедрение в эксплуатацию синтезированных веществ. Особенно востребован труд химических технологов на производстве отделочных материалов, полимерных материалов, продуктов переработки нефти и др.","Химик-технолог — одна из самых востребованных технологических профессий. Специалисты нужны на ресурсоперерабатывающих предприятиях, в фармацевтических компаниях, косметических фирмах. Но настоящий бум химической технологии возник благодаря развитию рынка строительных и отделочных материалов. Бытовые краски, мастики, растворы и смеси — все это продукты работы химиков-технологов. Начинающие специалисты зарабатывают не менее 20 тысяч рублей. Опытные технологи — 40 тысяч и более."
Химическая технология материалов современной энергетики,18.05.02,,
Химическая технология энергонасыщенных материалов и изделий,18.05.01,,
Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии,18.03.02,"Специалисты данного направления создают и внедряют в эксплуатацию энерго- и ресурсосберегающие, экологически безопасные технологии, используемые при производстве ядерного горючего, основных неорганических веществ, продуктов органического синтеза, полимерных материалов, продуктов переработки нефти, газа, твердого топлива и др. веществ. Работают в качестве техников на предприятиях различных производств, где требуются специалисты механического профиля. Выпускники «экологического» профиля могут строить карьеру в качестве инженеров-экологов.","Специалисты требуются в машиностроении, на химические и химико-технологические производства, косметические фабрики, в горно-добывающие и обрабатывающие компании. Средняя заработная плата техника 20–25 тысяч рублей в месяц. Возможные варианты карьеры — инженерная, в качестве специалиста по безопасности или экологии. Разработчики новых технологий могут работать в профильных научно-исследовательских центрах и лабораториях."
Актерское искусство,52.05.01,,
Библиотечно-информационная деятельность,51.03.06,"Выпускники направления работают в классических и электронных библиотеках и архивах. Занимаются составлением каталогов, в том числе специализированных. Дополняют и содержат в порядке имеющиеся фонды. Владеют методиками прогнозирования спроса на книжную продукцию. Работают с автоматизированными библиотечно-информационными системами: занимаются обновлением базы данных, поддерживанием ее в актуальном состоянии. Отвечают за логистику в библиотеках: заказывают новые поступления, принимают их, следят за складами и т.п.","Сотрудники требуются в библиотеки всех уровней: начиная от районных и заканчивая федеральными. Правда, больших окладов в государственных организациях ждать не стоит: средний доход библиотекаря в Москве 15–20 тысяч рублей. На бОльшие деньги могут рассчитывать специалисты электронных библиотек: вознаграждение опытных библиотекарей-информационщиков стартует с отметки в 30 тысяч рублей. Но в этом случае речь скорее идет о компьютерных специалистах, разбирающихся в библиотечно-архивной специфике."
Вокальное искусство,53.03.03,"В зависимости от выбранного профиля, выпускники работают в труппах театров и концертных агентств различных направлений, занимаются сольной певческой карьерой. Принимают участие в студийных записях. Преподают в школах, в том числе музыкальных, и дошкольных учебных заведениях. Руководят детскими коллективами и ансамблями. Ассистируют преподавателям в вузах. Выступают в качестве хормейстеров и концертмейстеров. Работают в различных государственных ведомствах культурно-музыкальной направленности.","Прогнозировать успешность того или иного музыкального исполнителя нереально. Вакантных мест в труппах известных театров, в том числе оперных, практически не бывает. Тем не менее талантливые выпускники ангажемент получают практически всегда. Доходы вокалистов зависят от известности исполнителя и популярности театра, в котором он работает. Они могут быть как непомерно высокими (сотни тысяч за один концерт), так и неприлично низкими. Нередко российские исполнители добиваются успеха на подмостках зарубежных оперных и музыкальных театров."
Графика,54.05.03,,
Декоративно-прикладное искусство и народные промыслы,54.03.02,"Выпускники направления работают на производстве (фабрики росписи по ткани, швейные и конструкторские мастерские). Выступают в качестве частных мастеров-художников. Преподают в художественных школах, средних и высших учебных заведениях. Могут исполнять обязанности привлеченных экспертов по определенным видам искусства, работая «под крылом» аукционных домов или независимых экспертных сообществ. Занимают посты хранителей в музеях декоративно-прикладного и изобразительного искусства.","Оценить заработки практикующих художников и мастеров довольно сложно. Основной доход им приносит сбыт изготовленной продукции. Хотя хенд-мейд сейчас недешев, по-настоящему высокими гонорарами могут похвастаться немногие. Продажа изделий посредством салонов приносит создателю лишь небольшой процент от вырученной суммы. Сотрудники музеев и выставочных центров получают фиксированную, довольно скромную зарплату (от 15–-18 тысяч рублей в месяц). Доход педагогов – 20 и более тысяч."
