University, Spec_ID, Spec_Name, Subjects, Threshold, Subjects_Count
"ВШЭ","45.03.01","Филология","литература, русский язык, иностранный язык","298","3"
"ВШЭ","01.03.02","Прикладная математика и информатика","математика, русский язык, информатика и ИКТ","297","3"
"ВШЭ","09.03.04","Программная инженерия","математика, русский язык, информатика и ИКТ","296","3"
"ВШЭ","45.03.02","Лингвистика","обществознание, русский язык, иностранный язык","295","3"
"ВШЭ","42.03.01","Реклама и связи с общественностью","обществознание, русский язык, иностранный язык","294","3"
"ВШЭ","45.03.03","Фундаментальная и прикладная лингвистика","иностранный язык, русский язык, математика","290","3"
"ВШЭ","38.03.05","Бизнес-информатика","математика, русский язык, иностранный язык","287","3"
"ВШЭ","10.05.01","Компьютерная безопасность","математика, русский язык, информатика и ИКТ","280","3"
"ВШЭ","50.03.03","История искусств","история, русский язык, иностранный язык","274","3"
"ВШЭ","01.03.01","Математика","математика, русский язык, физика","272","3"
"ВШЭ","03.03.02","Физика","математика, русский язык, физика","272","3"
"ВШЭ","46.03.01","История","история, русский язык, иностранный язык","272","3"
"ВШЭ","01.03.04","Прикладная математика","математика, русский язык, физика","269","3"
"ВШЭ","38.03.02","Менеджмент","математика, русский язык, иностранный язык","267","3"
"ВШЭ","09.03.01","Информатика и вычислительная техника","математика, русский язык, физика","263","3"
"ВШЭ","37.03.01","Психология","биология, русский язык, математика","262","3"
"ВШЭ","11.03.02","Инфокоммуникационные технологии и системы связи","математика, русский язык, физика","256","3"
"МГТУ им. Н.Э.Баумана","10.05.03","Информационная безопасность автоматизированных систем","математика, русский язык, физика","298","3"
"МГТУ им. Н.Э.Баумана","10.05.01","Компьютерная безопасность","математика, русский язык, физика","295","3"
"МГТУ им. Н.Э.Баумана","09.03.04","Программная инженерия","математика, русский язык, информатика и ИКТ","287","3"
"МГТУ им. Н.Э.Баумана","12.03.04","Биотехнические системы и технологии","математика, русский язык, физика","282","3"
"МГТУ им. Н.Э.Баумана","40.05.03","Судебная экспертиза","обществознание, русский язык, история","281","3"
"МГТУ им. Н.Э.Баумана","09.03.01","Информатика и вычислительная техника","математика, русский язык, информатика и ИКТ","278","3"
"МГТУ им. Н.Э.Баумана","24.05.01","Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов","математика, русский язык, физика","276","3"
